engine,score,kind,pages,ok,error,wallMs,wallMsPerPage,usd,tokensIn,tokensOut,f1,precision,recall,anyHandF1,globalF1,onsetMeanAbs,durationAcc,barsGt,barsEng,barsAligned,barsExactDur,barsOverfull,barsUnderfull,geoRecall,geoXIoU,scoreDataMeasures,measuresPlaced,measuresWithSlots,systemsWithStaves,fallbackPages,llmCalls,warnings
audiveris-5.11.0,bach-prelude-846,typeset,3,true,,26489,8830,0,,,0.8246,0.8868,0.7705,0.8246,0.1365,46,1,35,35,35,27,8,0,1,,35,35,35,14,,,measure_overfull measure_underfull tempo_defaulted
audiveris-5.11.0,bach-fugue-846,typeset,4,true,,35198,8800,0,,,0.9061,0.9354,0.8786,0.9061,0.4667,1.7,0.97,27,27,27,24,3,0,1,,27,27,24,16,,,multi_part_collapsed measure_overfull tempo_defaulted
audiveris-5.11.0,bach-prelude-848,typeset,3,true,,30518,10173,0,,,0.9963,0.9951,0.9975,0.9963,0.9963,0.9,0.9975,104,104,104,104,0,0,1,,104,104,104,17,,,tempo_defaulted
audiveris-5.11.0,beethoven-8-2,typeset,8,true,,60947,7618,0,,,0.7573,0.7746,0.7407,0.7585,0.0683,29.5,0.9934,73,73,73,0,73,0,1,,73,73,61,27,,,meter_corrected measure_underfull measure_overfull ornaments_realized tempo_defaulted
audiveris-5.11.0,haydn-39-3,typeset,5,true,,39464,7893,0,,,0.9023,0.902,0.9025,0.9023,0.6138,0,0.9739,121,121,121,119,2,0,1,,242,242,242,28,,,measure_underfull measure_overfull tempo_inferred dynamics_not_staff_split repeats_unrolled
audiveris-5.11.0,mozart-11-3,typeset,5,true,,51313,10263,0,,,0.7617,0.9286,0.6457,0.7617,0.3194,0.3,0.9662,137,140,137,126,7,4,1,,243,243,240,29,,,measure_underfull measure_overfull tempo_inferred dynamics_not_staff_split repeats_unrolled
audiveris-5.11.0,mozart-12-2,typeset,6,true,,48884,8147,0,,,0.8214,0.8967,0.7578,0.8247,0.2963,11.6,0.98,40,40,40,30,9,1,1,,40,40,33,25,,,multi_part_collapsed measure_overfull measure_underfull tempo_defaulted
audiveris-5.11.0,chopin-10-3,typeset,7,true,,64440,9206,0,,,0.9099,0.9104,0.9094,0.9099,0.3604,4.9,0.9875,78,78,78,71,7,0,1,,78,78,73,26,,,measure_overfull measure_underfull tempo_defaulted
audiveris-5.11.0,scriabin-8-11,typeset,3,true,,27458,9153,0,,,0.7842,0.7881,0.7804,0.7891,0.3173,3.8,0.9694,54,54,54,40,14,0,1,,54,54,47,15,,,measure_overfull measure_underfull
audiveris-5.11.0,ravel-pavane,typeset,4,true,,39539,9885,0,,,0.8075,0.8163,0.7988,0.8085,0.1979,3.9,0.9377,72,70,70,62,8,0,0.9722,,70,70,68,20,,,measure_underfull measure_overfull ornaments_realized tempo_defaulted measure_geometry_mismatch
