# quarter-rest-fixtures.tsv
# Vertical run-table fixture decoded from saved Audiveris XML. Fields are tab-separated.
# bitmap_rows is top-to-bottom, x left-to-right, with | row separators; .=background, #=foreground.
# Audiveris packet convention: each vertical sequence starts foreground=true (even when first RLE length is 0), then alternates.
# initial_fg_bits has one bit per vertical column and is therefore all 1s for these tables; XML RLE trailing pixels remain background.
# norm_center=(glyph_center_y-staff_mean_line_y)/interline_px. PDF SHA-256 is source input; OMR/XML SHA-256 identify cache artifact/XML entry.
# Historical dx/dy use the packet comparator convention: target lookup is prototype[x-dx,y-dy].
# historical air_target->air_proto dx=0 dy=0 iou=0.997877 agreement=0.999193
# historical inv_target_upper->inv_proto_upper dx=0 dy=0 iou=0.895582 agreement=0.959938
# historical inv_target_upper->inv_proto_lower dx=0 dy=0 iou=0.848837 agreement=0.939908
# historical gym_target_m25->gym_proto_m25 dx=0 dy=0 iou=0.882937 agreement=0.954545
# historical gym_target_m25->gym_proto_m30 dx=1 dy=0 iou=0.921212 agreement=0.971260
# historical gym_target_m30->gym_proto_m30 dx=1 dy=0 iou=0.948240 agreement=0.981577
# controls historical best aligned IoU vs air_target: flag=.251724 digit3=.229287 digit4=.222222.
# Historical classifier grades (saved packet; not synthesized fixture evidence): air_target QUARTER_REST=.563631396; inv_target_upper=.288493371; inv_target_lower=.103955679; inv_proto_upper=.962591326; inv_proto_lower=.924716348.
record_id	role	source_pdf	pdf_sha256	omr_sha256	xml_path	xml_sha256	glyph_id	left	top	width	height	shape	staff	interline_px	norm_center	initial_fg_bits	bitmap_rows
air_target	TARGET	bach-air-anh131.pdf	2421e97393ee1b476897314326409e0ea3e25e3ceb6d4bf215342e709be35af5	a1a2bb3e3d343752aabb70a8c54d346f25ef5ab4ce9e03f573228319a5df8ebf	sheet#1/sheet#1.xml	330bdd8834c9d74d848eb6a6890bccd10ad136c7798302ecfaae206ab7eedf6d	2877	1719	1443	21	59	UNCLASSIFIED	4	21.0	-0.176190	111111111111111111111	......#..............|......##.............|......###............|.......###...........|.......####..........|........####.........|.........####........|..........####.......|..........####.......|..........#####......|...........#####.....|...........########..|...........########..|...........########..|..........##########.|..........###########|.........############|.........############|........#############|.......##############|......##############.|.....##############..|....##############...|...##############....|..##############.....|.##############......|.#############.......|.############........|..###########........|...#########.........|...#########.........|....########.........|....########.........|....########.........|......######.........|.......#####.........|........####.........|.........####........|..........###........|...........##........|.######.....##.......|##########..###......|################.....|#################....|##################...|###################..|########......######.|#######..........###.|.#####............##.|..####...............|..####...............|...###...............|...###...............|...###...............|...###...............|.....#...............|.....###.............|......##.............|.......#.............
air_proto	PROTOTYPE	bach-air-anh131.pdf	2421e97393ee1b476897314326409e0ea3e25e3ceb6d4bf215342e709be35af5	a1a2bb3e3d343752aabb70a8c54d346f25ef5ab4ce9e03f573228319a5df8ebf	sheet#1/sheet#1.xml	330bdd8834c9d74d848eb6a6890bccd10ad136c7798302ecfaae206ab7eedf6d	2788	277	1443	21	59	QUARTER_REST	4	21.0	-0.176190	111111111111111111111	......#..............|......##.............|......###............|.......###...........|.......####..........|........####.........|.........####........|..........####.......|..........####.......|..........#####......|...........#####.....|...........########..|...........########..|...........########..|..........##########.|..........###########|.........############|.........############|........#############|.......##############|......##############.|.....##############..|....##############...|...##############....|..##############.....|.##############......|.#############.......|.############........|..###########........|...#########.........|...#########.........|....########.........|....########.........|....########.........|......######.........|.......#####.........|........####.........|.........####........|..........###........|...........##........|.######.....##.......|##########..###......|################.....|#################....|##################...|###################..|########......######.|#######..........###.|.#####............##.|.#####...............|..####...............|...###...............|...###...............|...###...............|...###...............|.....#...............|.....###.............|......##.............|.......#.............
inv_target_upper	TARGET	bach-invention-08.pdf	5323449d08aa5031e974e275f182bebf8f533ecf62e5f9b0c9c36364f4b66469	18241d29b848013468dadfa43b013f19c5bed9c6f9bf4b8b2e1ae900bc130ec2	sheet#2/sheet#2.xml	78eb50475661938fa01dff23375400c421160fc977f9f71717364556e30828a6	5241	2228	1750	22	58	UNCLASSIFIED	7	21.0	-0.152381	1111111111111111111111	.......#..............|......###.............|.......###............|........###...........|.........###..........|.........####.........|..........####........|..........#####.......|..........#####.......|...........#####......|...........########...|...........########...|...........########...|...........#########..|..........###########.|..........###########.|..........############|.........#############|........##############|.......##############.|......###############.|.....##############...|...###############....|...##############.....|..##############......|..#############.......|.#############........|..###########.........|..###########.........|...#########..........|....########..........|....########..........|....########..........|.......#####..........|........####..........|........####..........|.........####.........|..........###.........|...#.......##.........|.######.....##........|.##########..##.......|################......|#################.....|.#################....|.#########.########...|.######.......######..|..#####..........###..|..#####...........###.|..#####...............|...###................|...###................|...####...............|...####...............|...####...............|.....##...............|......##..............|......##..............|.......#..............
inv_target_lower	BELOW_GATE_TARGET	bach-invention-08.pdf	5323449d08aa5031e974e275f182bebf8f533ecf62e5f9b0c9c36364f4b66469	18241d29b848013468dadfa43b013f19c5bed9c6f9bf4b8b2e1ae900bc130ec2	sheet#2/sheet#2.xml	78eb50475661938fa01dff23375400c421160fc977f9f71717364556e30828a6	5242	2228	1958	22	58	UNCLASSIFIED	8	21.0	-0.180952	1111111111111111111111	.......#..............|......###.............|......####............|.......####...........|........####..........|.........####.........|..........####........|..........#####.......|..........#####.......|...........#####......|...........######.....|...........#########..|...........#########..|...........#########..|..........###########.|..........###########.|..........############|.........#############|........##############|.......##############.|......###############.|.....##############...|...###############....|...##############.....|..##############......|..#############.......|.#############........|..###########.........|..###########.........|...#########..........|....########..........|.....#######..........|.....#######..........|.....#######..........|.......#####..........|........####..........|.........####.........|..........###.........|..........###.........|..##.......###........|.######.....###.......|###########..###......|#################.....|.#################....|.##################...|.########..#########..|..#####.......######..|..#####..........####.|..#####...........##..|...###................|...###................|...####...............|....###...............|....####..............|....####..............|......##..............|......##..............|.......#..............
inv_proto_upper	PROTOTYPE	bach-invention-08.pdf	5323449d08aa5031e974e275f182bebf8f533ecf62e5f9b0c9c36364f4b66469	18241d29b848013468dadfa43b013f19c5bed9c6f9bf4b8b2e1ae900bc130ec2	sheet#2/sheet#2.xml	78eb50475661938fa01dff23375400c421160fc977f9f71717364556e30828a6	5243	2318	1750	22	59	QUARTER_REST	7	21.0	-0.128571	1111111111111111111111	.......##.............|.......###............|........###...........|.........###..........|..........###.........|..........###.........|...........###........|...........####.......|...........#####......|............#####.....|............#######...|............#######...|............#######...|...........#########..|...........##########.|...........##########.|..........############|.........#############|........##############|.......##############.|......###############.|.....###############..|....##############....|...##############.....|..##############......|..#############.......|.#############........|..############........|..###########.........|...##########.........|....#########.........|....#########.........|....#########.........|.......######.........|........#####.........|........#####.........|.........#####........|..........####........|...#.......###........|.######.....###.......|.##########..###......|#################.....|##################....|.##################...|.##########.########..|.#######.......######.|..######..........###.|..#####............##.|..#####...............|...####...............|...###................|...####...............|...####...............|...####...............|.....##...............|......##..............|......##..............|.......##.............|........#.............
inv_proto_lower	PROTOTYPE	bach-invention-08.pdf	5323449d08aa5031e974e275f182bebf8f533ecf62e5f9b0c9c36364f4b66469	18241d29b848013468dadfa43b013f19c5bed9c6f9bf4b8b2e1ae900bc130ec2	sheet#2/sheet#2.xml	78eb50475661938fa01dff23375400c421160fc977f9f71717364556e30828a6	5244	2318	1958	22	59	QUARTER_REST	8	21.0	-0.157143	1111111111111111111111	........#.............|......####............|.......####...........|........####..........|.........####.........|..........###.........|...........###........|...........####.......|...........#####......|............#####.....|............#####.....|...........#########..|...........#########..|...........#########..|...........##########.|...........##########.|..........############|.........#############|........##############|.......##############.|......###############.|.....###############..|....##############....|...##############.....|..##############......|..#############.......|.#############........|..############........|..###########.........|...##########.........|....#########.........|.....#######..........|.....########.........|.....########.........|.......######.........|........#####.........|.........#####........|..........####........|..........####........|..##.......####.......|.######.....####......|###########..####.....|##################....|.##################...|.###################..|.#########..#########.|..######.......######.|..#####...........###.|..#####............##.|...####...............|...###................|...####...............|....###...............|....####..............|....####..............|......##..............|......##..............|.......##.............|........#.............
gym_target_m25	TARGET	gymnopedie-2.pdf	d23906c422539128fe0e5106a4ebf8ea7f8273a60c3f2dbcf4c7f5f46363acb6	9aa526ec83936f7dda38accb49e6d1a9123eae654bab9b98d6614abc5160db06	sheet#1/sheet#1.xml	884af4c3bece5fb024cfaf06258283d5d51ccc9eb82d544fe3427f82180707e6	6514	1778	1363	22	59	UNCLASSIFIED	5	21.0	0.842857	1111111111111111111111	.......#..............|......###.............|......####............|.......####...........|........####..........|.........####.........|..........####........|..........#####.......|..........#####.......|...........#####......|...........######.....|...........#########..|...........#########..|...........#########..|...........##########.|..........###########.|.........#############|.........#############|........##############|.......##############.|......##############..|....################..|...###############....|...##############.....|..##############......|..#############.......|.#############........|..###########.........|..##########..........|...#########..........|....########..........|.....######...........|.....#######..........|.....#######..........|........####..........|........####..........|.........####.........|..........###.........|...........##.........|..##........##........|.########....##.......|################......|#################.....|.#################....|.##################...|.#########..########..|.######........#####..|..#####..........####.|..#####...............|..####................|..####................|...####...............|...####...............|...####...............|.....##...............|.....###..............|......##..............|......##..............|.......#..............
gym_target_m30	TARGET	gymnopedie-2.pdf	d23906c422539128fe0e5106a4ebf8ea7f8273a60c3f2dbcf4c7f5f46363acb6	9aa526ec83936f7dda38accb49e6d1a9123eae654bab9b98d6614abc5160db06	sheet#1/sheet#1.xml	884af4c3bece5fb024cfaf06258283d5d51ccc9eb82d544fe3427f82180707e6	6232	757	1868	22	59	UNCLASSIFIED	7	21.0	0.852381	1111111111111111111111	.......#..............|......###.............|......####............|.......####...........|........####..........|.........####.........|..........####........|..........#####.......|..........#####.......|...........#####......|...........######.....|...........#########..|...........#########..|...........#########..|...........##########.|..........###########.|.........#############|.........#############|........#############.|.......##############.|......##############..|....###############...|...###############....|...##############.....|..#############.......|..############........|.############.........|..###########.........|..##########..........|...#########..........|....########..........|....########..........|....########..........|.......#####..........|........####..........|........####..........|.........####.........|..........###.........|...........##.........|..##........##........|.########....##.......|################......|#################.....|.#################....|.#########.########...|.#######......######..|.######.........####..|..#####..........####.|..#####...............|..####................|..####................|...####...............|...####...............|...####...............|.....##...............|.....###..............|......##..............|......##..............|.......#..............
gym_proto_m25	PROTOTYPE	gymnopedie-2.pdf	d23906c422539128fe0e5106a4ebf8ea7f8273a60c3f2dbcf4c7f5f46363acb6	9aa526ec83936f7dda38accb49e6d1a9123eae654bab9b98d6614abc5160db06	sheet#1/sheet#1.xml	884af4c3bece5fb024cfaf06258283d5d51ccc9eb82d544fe3427f82180707e6	6451	1554	1363	22	59	QUARTER_REST	5	21.0	0.842857	1111111111111111111111	........#.............|......####............|.......####...........|........####..........|.........####.........|..........###.........|...........###........|...........####.......|...........#####......|............#####.....|............#####.....|............########..|............########..|............########..|............#########.|...........##########.|..........############|..........############|.........#############|........#############.|......##############..|.....###############..|....##############....|...##############.....|..##############......|..#############.......|.#############........|..############........|..###########.........|...##########.........|....#########.........|.....#######..........|.....########.........|.....########.........|........#####.........|........#####.........|.........#####........|..........####........|...........###........|..##........###.......|.########....###......|#################.....|##################....|.##################...|.###################..|.#########...########.|..#####.........#####.|..#####...........###.|..#####...............|..####................|...###................|...####...............|...####...............|...####...............|.....##...............|......##..............|.......#..............|.......##.............|........#.............
gym_proto_m30	PROTOTYPE	gymnopedie-2.pdf	d23906c422539128fe0e5106a4ebf8ea7f8273a60c3f2dbcf4c7f5f46363acb6	9aa526ec83936f7dda38accb49e6d1a9123eae654bab9b98d6614abc5160db06	sheet#1/sheet#1.xml	884af4c3bece5fb024cfaf06258283d5d51ccc9eb82d544fe3427f82180707e6	6282	978	1868	22	59	QUARTER_REST	7	21.0	0.852381	1111111111111111111111	........#.............|.......###............|.......####...........|........####..........|.........####.........|..........####........|...........####.......|...........#####......|...........#####......|............#####.....|............######....|............#########.|............#########.|............#########.|............##########|...........###########|..........############|..........############|.........#############|........#############.|.......#############..|.....###############..|....##############....|....#############.....|...#############......|...############.......|..############........|...###########........|...##########.........|....#########.........|.....########.........|.....########.........|.....########.........|.......######.........|........#####.........|.........####.........|..........####........|..........####........|...........###........|...##.......###.......|.#########...###......|.################.....|##################....|.##################...|.##########.########..|.########......######.|..######.........####.|..######..........###.|..######..............|..#####...............|...####...............|...#####..............|...#####..............|...#####..............|.....###..............|......###.............|.......##.............|.......##.............|........#.............
